name,currency,currency_name,region,capital,temperatures,windspeeds
Argentina,$,Argentine peso,Americas,Buenos Aires,21.4,13.8
Colombia,$,Colombian peso,Americas,Bogotá,29.3,14.8
Brazil,R$,Brazilian real,Americas,Brasília,30.1,5.9
Peru,S/ ,Peruvian sol,Americas,Lima,12.8,8.4
Chile,$,Chilean peso,Americas,Santiago,24.0,12.2
Ecuador,$,United States dollar,Americas,Quito,28.9,7.1
Bolivia,Bs.,Bolivian boliviano,Americas,Sucre,17.2,6.8
Paraguay,₲,Paraguayan guaraní,Americas,Asunción,32.9,7.9
Uruguay,$,Uruguayan peso,Americas,Montevideo,36.3,21.1
Venezuela,Bs.S.,Venezuelan bolívar soberano,Americas,Caracas,30.3,31.3
France,€,Euro,Europe,Paris,10.9,16.0
Germany,€,Euro,Europe,Berlin,-0.0,7.2
Italy,€,Euro,Europe,Rome,7.5,6.9
Spain,€,Euro,Europe,Madrid,12.6,37.5
Portugal,€,Euro,Europe,Lisbon,13.2,23.8
Caribbean Netherlands,$,United States dollar,Americas,Kralendijk,26.4,33.7
Belgium,€,Euro,Europe,Brussels,7.8,12.2
Switzerland,Fr.,Swiss franc,Europe,Bern,3.3,1.3
Austria,€,Euro,Europe,Vienna,1.7,0.7
Greece,€,Euro,Europe,Athens,9.7,2.1
